crop,crop_group,season_condition,recommendation_type,applicability_type,applicable_districts,applicable_blocks,n_rate_kg_ha,p2o5_rate_kg_ha,k2o_rate_kg_ha,soil_test_required,source_organization,source_reference
Rice,Cereal,Short Duration / Dry Season,Blanket,Cauvery Delta / Coimbatore,Cauvery Delta blocks + Coimbatore,Kattumannarkoil;Melbhuvanagiri;Keerapalayam;Parangipettai;Kumaratchi;Lalgudi;Manachanallur;Pullambadi;Andanallur;Thiruverambur;Musiri;Kulithalai;Krishnarayapuram;Karur;Thogamalai;Tirumanur;T.Palur;Jeyamkondam;Aranthangi;Avudaiyarkoil;Manamelkudi;Tiruvvarangulam;Gandarvakottai;Karambakudi;Thanjavur;Tiruvaiyaru;Papanasam;Kumbakonam;Orathanadu;Madukkur;Pattukkottai;Peravurani;Tiruvidamaruthur;Budalur;Ammapettai;Sethubavachatram;Thirupanandal;Nagapattinam;Tirumangai;Kilvelur;Keelaiyur;Vedaranayam;Thalainyiru;Mayiladuthurai;Kuthalam;Sirkali;Kollidam;Sembanarkoil;Thiruvarur;Thiruthuraipoondi;Muthupettai;Mannarkudi;Kothur;Nanilam;Needamangalam;Kodavasal;Koradacheri;Valangaiman,150.0,50.0,50.0,True,Tamil Nadu Agricultural University,TNAU Rice Nutrient Management
Rice,Cereal,Short Duration / Dry Season,Blanket,Other Tracts,Other Tamil Nadu areas,,120.0,40.0,40.0,True,Tamil Nadu Agricultural University,TNAU Rice Nutrient Management
Rice,Cereal,Medium / Long Duration / Wet Season,Blanket,Tamil Nadu,Tamil Nadu,,150.0,50.0,50.0,True,Tamil Nadu Agricultural University,TNAU Rice Nutrient Management
Rice,Cereal,Hybrid Rice,Blanket,Tamil Nadu,Tamil Nadu,,175.0,60.0,60.0,True,Tamil Nadu Agricultural University,TNAU Rice Nutrient Management
Rice,Cereal,Improved White Ponni,Blanket,Tamil Nadu,Tamil Nadu,,75.0,50.0,50.0,True,Tamil Nadu Agricultural University,TNAU Rice Nutrient Management
Sugarcane,Commercial Crop,Plant Crop,General,Tamil Nadu,Tamil Nadu,,275.0,62.5,112.5,True,Tamil Nadu Agricultural University,TNAU Sugarcane Nutrient Management
Sugarcane,Commercial Crop,Ratoon Crop,General,Tamil Nadu,Tamil Nadu,,343.5,62.5,112.5,True,Tamil Nadu Agricultural University,TNAU Sugarcane Nutrient Management
Sugarcane,Commercial Crop,Jaggery,General,Tamil Nadu,Tamil Nadu,,225.0,62.5,112.5,True,Tamil Nadu Agricultural University,TNAU Sugarcane Nutrient Management
Ragi,Millet,Rainfed Early Direct Sown,General,Tamil Nadu,Tamil Nadu,,40.0,30.0,20.0,True,Tamil Nadu Agricultural University,TNAU Ragi Nutrient Management
Ragi,Millet,Rainfed Early Transplanted,General,Tamil Nadu,Tamil Nadu,,50.0,40.0,25.0,True,Tamil Nadu Agricultural University,TNAU Ragi Nutrient Management
Ragi,Millet,Rainfed Medium,General,Tamil Nadu,Tamil Nadu,,50.0,40.0,25.0,True,Tamil Nadu Agricultural University,TNAU Ragi Nutrient Management
Ragi,Millet,Irrigated Early / Medium Transplanted,General,Tamil Nadu,Tamil Nadu,,60.0,40.0,30.0,True,Tamil Nadu Agricultural University,TNAU Ragi Nutrient Management
